// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 1.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.41 sec)   *****
// Found 7 benchmarks:
//   LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]

// **************************
// Benchmark: LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.Foreach(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 0 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual  12: 33554432 op, 46226900.00 ns, 1.3777 ns/op
OverheadActual  13: 33554432 op, 46677100.00 ns, 1.3911 ns/op
OverheadActual  14: 33554432 op, 46349100.00 ns, 1.3813 ns/op
OverheadActual  15: 33554432 op, 46373100.00 ns, 1.3820 ns/op

WorkloadWarmup   1: 33554432 op, 850744200.00 ns, 25.3542 ns/op
WorkloadWarmup   2: 33554432 op, 850887000.00 ns, 25.3584 ns/op
WorkloadWarmup   3: 33554432 op, 853031100.00 ns, 25.4223 ns/op
WorkloadWarmup   4: 33554432 op, 850683900.00 ns, 25.3524 ns/op
WorkloadWarmup   5: 33554432 op, 847771600.00 ns, 25.2656 ns/op
WorkloadWarmup   6: 33554432 op, 866933600.00 ns, 25.8366 ns/op
WorkloadWarmup   7: 33554432 op, 849505200.00 ns, 25.3172 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 850589400.00 ns, 25.3495 ns/op
WorkloadActual   2: 33554432 op, 847487700.00 ns, 25.2571 ns/op
WorkloadActual   3: 33554432 op, 851264100.00 ns, 25.3696 ns/op
WorkloadActual   4: 33554432 op, 846733600.00 ns, 25.2346 ns/op
WorkloadActual   5: 33554432 op, 846406300.00 ns, 25.2249 ns/op
WorkloadActual   6: 33554432 op, 846435600.00 ns, 25.2257 ns/op
WorkloadActual   7: 33554432 op, 846636100.00 ns, 25.2317 ns/op
WorkloadActual   8: 33554432 op, 847133200.00 ns, 25.2465 ns/op
WorkloadActual   9: 33554432 op, 851116900.00 ns, 25.3653 ns/op
WorkloadActual  10: 33554432 op, 848724400.00 ns, 25.2940 ns/op
WorkloadActual  11: 33554432 op, 850195000.00 ns, 25.3378 ns/op
WorkloadActual  12: 33554432 op, 846487800.00 ns, 25.2273 ns/op
WorkloadActual  13: 33554432 op, 846277600.00 ns, 25.2210 ns/op
WorkloadActual  14: 33554432 op, 849223700.00 ns, 25.3088 ns/op
WorkloadActual  15: 33554432 op, 855761000.00 ns, 25.5037 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 804182700.00 ns, 23.9665 ns/op
WorkloadResult   2: 33554432 op, 801081000.00 ns, 23.8741 ns/op
WorkloadResult   3: 33554432 op, 804857400.00 ns, 23.9866 ns/op
WorkloadResult   4: 33554432 op, 800326900.00 ns, 23.8516 ns/op
WorkloadResult   5: 33554432 op, 799999600.00 ns, 23.8418 ns/op
WorkloadResult   6: 33554432 op, 800028900.00 ns, 23.8427 ns/op
WorkloadResult   7: 33554432 op, 800229400.00 ns, 23.8487 ns/op
WorkloadResult   8: 33554432 op, 800726500.00 ns, 23.8635 ns/op
WorkloadResult   9: 33554432 op, 804710200.00 ns, 23.9822 ns/op
WorkloadResult  10: 33554432 op, 802317700.00 ns, 23.9109 ns/op
WorkloadResult  11: 33554432 op, 803788300.00 ns, 23.9548 ns/op
WorkloadResult  12: 33554432 op, 800081100.00 ns, 23.8443 ns/op
WorkloadResult  13: 33554432 op, 799870900.00 ns, 23.8380 ns/op
WorkloadResult  14: 33554432 op, 802817000.00 ns, 23.9258 ns/op
WorkloadResult  15: 33554432 op, 809354300.00 ns, 24.1206 ns/op

// AfterAll
// Benchmark Process 4472 has exited with code 0

Mean = 23.9101 ns, StdErr = 0.0207 ns (0.09%); N = 15, StdDev = 0.0803 ns
Min = 23.8380 ns, Q1 = 23.8443 ns, Median = 23.8741 ns, Q3 = 23.9665 ns, Max = 24.1206 ns
IQR = 0.1222 ns, LowerFence = 23.6609 ns, UpperFence = 24.1499 ns
ConfidenceInterval = [23.8243 ns; 23.9960 ns] (CI 99.9%), Margin = 0.0858 ns (0.36% of Mean)
Skewness = 1.1, Kurtosis = 3.47, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ForSimple(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 283600.00 ns, 283.6000 us/op
WorkloadJitting  1: 1 op, 301500.00 ns, 301.5000 us/op

OverheadJitting  2: 16 op, 393900.00 ns, 24.6187 us/op
WorkloadJitting  2: 16 op, 390100.00 ns, 24.3813 us/op

WorkloadPilot    1: 16 op, 900.00 ns, 56.2500 ns/op
WorkloadPilot    2: 32 op, 1400.00 ns, 43.7500 ns/op
WorkloadPilot    3: 64 op, 2300.00 ns, 35.9375 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 8300.00 ns, 32.4219 ns/op
WorkloadPilot    6: 512 op, 15600.00 ns, 30.4688 ns/op
WorkloadPilot    7: 1024 op, 31000.00 ns, 30.2734 ns/op
WorkloadPilot    8: 2048 op, 59600.00 ns, 29.1016 ns/op
WorkloadPilot    9: 4096 op, 119700.00 ns, 29.2236 ns/op
WorkloadPilot   10: 8192 op, 242500.00 ns, 29.6021 ns/op
WorkloadPilot   11: 16384 op, 452600.00 ns, 27.6245 ns/op
WorkloadPilot   12: 32768 op, 925000.00 ns, 28.2288 ns/op
WorkloadPilot   13: 65536 op, 1856800.00 ns, 28.3325 ns/op
WorkloadPilot   14: 131072 op, 3607500.00 ns, 27.5230 ns/op
WorkloadPilot   15: 262144 op, 7246400.00 ns, 27.6428 ns/op
WorkloadPilot   16: 524288 op, 14999200.00 ns, 28.6087 ns/op
WorkloadPilot   17: 1048576 op, 28153000.00 ns, 26.8488 ns/op
WorkloadPilot   18: 2097152 op, 55946600.00 ns, 26.6774 ns/op
WorkloadPilot   19: 4194304 op, 111475600.00 ns, 26.5779 ns/op
WorkloadPilot   20: 8388608 op, 224923800.00 ns, 26.8130 ns/op
WorkloadPilot   21: 16777216 op, 446705300.00 ns, 26.6257 ns/op
WorkloadPilot   22: 33554432 op, 894401900.00 ns, 26.6553 ns/op

OverheadWarmup   1: 33554432 op, 46805800.00 ns, 1.3949 ns/op
OverheadWarmup   2: 33554432 op, 47202200.00 ns, 1.4067 ns/op
OverheadWarmup   3: 33554432 op, 47103500.00 ns, 1.4038 ns/op
OverheadWarmup   4: 33554432 op, 46890600.00 ns, 1.3974 ns/op
OverheadWarmup   5: 33554432 op, 46912200.00 ns, 1.3981 ns/op
OverheadWarmup   6: 33554432 op, 46979200.00 ns, 1.4001 ns/op
OverheadWarmup   7: 33554432 op, 46931600.00 ns, 1.3987 ns/op

OverheadActual   1: 33554432 op, 46999800.00 ns, 1.4007 ns/op
OverheadActual   2: 33554432 op, 46832000.00 ns, 1.3957 ns/op
OverheadActual   3: 33554432 op, 46864400.00 ns, 1.3967 ns/op
OverheadActual   4: 33554432 op, 46935100.00 ns, 1.3988 ns/op
OverheadActual   5: 33554432 op, 46943300.00 ns, 1.3990 ns/op
OverheadActual   6: 33554432 op, 46889300.00 ns, 1.3974 ns/op
OverheadActual   7: 33554432 op, 47406000.00 ns, 1.4128 ns/op
OverheadActual   8: 33554432 op, 46955900.00 ns, 1.3994 ns/op
OverheadActual   9: 33554432 op, 47258600.00 ns, 1.4084 ns/op
OverheadActual  10: 33554432 op, 46824600.00 ns, 1.3955 ns/op
OverheadActual  11: 33554432 op, 46895100.00 ns, 1.3976 ns/op
OverheadActual  12: 33554432 op, 46919000.00 ns, 1.3983 ns/op
OverheadActual  13: 33554432 op, 46855100.00 ns, 1.3964 ns/op
OverheadActual  14: 33554432 op, 46943100.00 ns, 1.3990 ns/op
OverheadActual  15: 33554432 op, 47046300.00 ns, 1.4021 ns/op

WorkloadWarmup   1: 33554432 op, 901907700.00 ns, 26.8789 ns/op
WorkloadWarmup   2: 33554432 op, 897353500.00 ns, 26.7432 ns/op
WorkloadWarmup   3: 33554432 op, 895619600.00 ns, 26.6915 ns/op
WorkloadWarmup   4: 33554432 op, 897939300.00 ns, 26.7607 ns/op
WorkloadWarmup   5: 33554432 op, 895278100.00 ns, 26.6814 ns/op
WorkloadWarmup   6: 33554432 op, 899266800.00 ns, 26.8002 ns/op
WorkloadWarmup   7: 33554432 op, 901312500.00 ns, 26.8612 ns/op
WorkloadWarmup   8: 33554432 op, 896718600.00 ns, 26.7243 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 948762000.00 ns, 28.2753 ns/op
WorkloadActual   2: 33554432 op, 908208300.00 ns, 27.0667 ns/op
WorkloadActual   3: 33554432 op, 894763000.00 ns, 26.6660 ns/op
WorkloadActual   4: 33554432 op, 899744700.00 ns, 26.8145 ns/op
WorkloadActual   5: 33554432 op, 908381200.00 ns, 27.0719 ns/op
WorkloadActual   6: 33554432 op, 901498100.00 ns, 26.8667 ns/op
WorkloadActual   7: 33554432 op, 900692600.00 ns, 26.8427 ns/op
WorkloadActual   8: 33554432 op, 899199900.00 ns, 26.7982 ns/op
WorkloadActual   9: 33554432 op, 910710900.00 ns, 27.1413 ns/op
WorkloadActual  10: 33554432 op, 902070400.00 ns, 26.8838 ns/op
WorkloadActual  11: 33554432 op, 896211100.00 ns, 26.7092 ns/op
WorkloadActual  12: 33554432 op, 900750300.00 ns, 26.8445 ns/op
WorkloadActual  13: 33554432 op, 894010500.00 ns, 26.6436 ns/op
WorkloadActual  14: 33554432 op, 911578800.00 ns, 27.1672 ns/op
WorkloadActual  15: 33554432 op, 898853700.00 ns, 26.7879 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 861273200.00 ns, 25.6679 ns/op
WorkloadResult   2: 33554432 op, 847827900.00 ns, 25.2672 ns/op
WorkloadResult   3: 33554432 op, 852809600.00 ns, 25.4157 ns/op
WorkloadResult   4: 33554432 op, 861446100.00 ns, 25.6731 ns/op
WorkloadResult   5: 33554432 op, 854563000.00 ns, 25.4680 ns/op
WorkloadResult   6: 33554432 op, 853757500.00 ns, 25.4440 ns/op
WorkloadResult   7: 33554432 op, 852264800.00 ns, 25.3995 ns/op
WorkloadResult   8: 33554432 op, 863775800.00 ns, 25.7425 ns/op
WorkloadResult   9: 33554432 op, 855135300.00 ns, 25.4850 ns/op
WorkloadResult  10: 33554432 op, 849276000.00 ns, 25.3104 ns/op
WorkloadResult  11: 33554432 op, 853815200.00 ns, 25.4457 ns/op
WorkloadResult  12: 33554432 op, 847075400.00 ns, 25.2448 ns/op
WorkloadResult  13: 33554432 op, 864643700.00 ns, 25.7684 ns/op
WorkloadResult  14: 33554432 op, 851918600.00 ns, 25.3892 ns/op

// AfterAll
// Benchmark Process 9936 has exited with code 0

Mean = 25.4801 ns, StdErr = 0.0454 ns (0.18%); N = 14, StdDev = 0.1700 ns
Min = 25.2448 ns, Q1 = 25.3892 ns, Median = 25.4448 ns, Q3 = 25.6679 ns, Max = 25.7684 ns
IQR = 0.2788 ns, LowerFence = 24.9710 ns, UpperFence = 26.0861 ns
ConfidenceInterval = [25.2884 ns; 25.6718 ns] (CI 99.9%), Margin = 0.1917 ns (0.75% of Mean)
Skewness = 0.39, Kurtosis = 1.74, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ForLocalCached(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 2 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 286800.00 ns, 286.8000 us/op
WorkloadJitting  1: 1 op, 286800.00 ns, 286.8000 us/op

OverheadJitting  2: 16 op, 393800.00 ns, 24.6125 us/op
WorkloadJitting  2: 16 op, 399600.00 ns, 24.9750 us/op

WorkloadPilot    1: 16 op, 900.00 ns, 56.2500 ns/op
WorkloadPilot    2: 32 op, 1400.00 ns, 43.7500 ns/op
WorkloadPilot    3: 64 op, 2300.00 ns, 35.9375 ns/op
WorkloadPilot    4: 128 op, 4200.00 ns, 32.8125 ns/op
WorkloadPilot    5: 256 op, 7900.00 ns, 30.8594 ns/op
WorkloadPilot    6: 512 op, 15200.00 ns, 29.6875 ns/op
WorkloadPilot    7: 1024 op, 28800.00 ns, 28.1250 ns/op
WorkloadPilot    8: 2048 op, 54900.00 ns, 26.8066 ns/op
WorkloadPilot    9: 4096 op, 111900.00 ns, 27.3193 ns/op
WorkloadPilot   10: 8192 op, 216100.00 ns, 26.3794 ns/op
WorkloadPilot   11: 16384 op, 439600.00 ns, 26.8311 ns/op
WorkloadPilot   12: 32768 op, 881300.00 ns, 26.8951 ns/op
WorkloadPilot   13: 65536 op, 1744700.00 ns, 26.6220 ns/op
WorkloadPilot   14: 131072 op, 3458800.00 ns, 26.3885 ns/op
WorkloadPilot   15: 262144 op, 6604700.00 ns, 25.1949 ns/op
WorkloadPilot   16: 524288 op, 13443600.00 ns, 25.6416 ns/op
WorkloadPilot   17: 1048576 op, 26606900.00 ns, 25.3743 ns/op
WorkloadPilot   18: 2097152 op, 52875700.00 ns, 25.2131 ns/op
WorkloadPilot   19: 4194304 op, 106319000.00 ns, 25.3484 ns/op
WorkloadPilot   20: 8388608 op, 212706500.00 ns, 25.3566 ns/op
WorkloadPilot   21: 16777216 op, 423312200.00 ns, 25.2314 ns/op
WorkloadPilot   22: 33554432 op, 851420400.00 ns, 25.3743 ns/op

OverheadWarmup   1: 33554432 op, 46445800.00 ns, 1.3842 ns/op
OverheadWarmup   2: 33554432 op, 46505100.00 ns, 1.3860 ns/op
OverheadWarmup   3: 33554432 op, 47092000.00 ns, 1.4035 ns/op
OverheadWarmup   4: 33554432 op, 46462600.00 ns, 1.3847 ns/op
OverheadWarmup   5: 33554432 op, 46426900.00 ns, 1.3836 ns/op
OverheadWarmup   6: 33554432 op, 46748000.00 ns, 1.3932 ns/op
OverheadWarmup   7: 33554432 op, 46806400.00 ns, 1.3949 ns/op
OverheadWarmup   8: 33554432 op, 46845000.00 ns, 1.3961 ns/op
OverheadWarmup   9: 33554432 op, 46535200.00 ns, 1.3869 ns/op

OverheadActual   1: 33554432 op, 46511700.00 ns, 1.3862 ns/op
OverheadActual   2: 33554432 op, 46514500.00 ns, 1.3862 ns/op
OverheadActual   3: 33554432 op, 46382000.00 ns, 1.3823 ns/op
OverheadActual   4: 33554432 op, 46645900.00 ns, 1.3902 ns/op
OverheadActual   5: 33554432 op, 48150800.00 ns, 1.4350 ns/op
OverheadActual   6: 33554432 op, 46544100.00 ns, 1.3871 ns/op
OverheadActual   7: 33554432 op, 46355800.00 ns, 1.3815 ns/op
OverheadActual   8: 33554432 op, 46283400.00 ns, 1.3794 ns/op
OverheadActual   9: 33554432 op, 46483100.00 ns, 1.3853 ns/op
OverheadActual  10: 33554432 op, 46498800.00 ns, 1.3858 ns/op
OverheadActual  11: 33554432 op, 46543300.00 ns, 1.3871 ns/op
OverheadActual  12: 33554432 op, 46403200.00 ns, 1.3829 ns/op
OverheadActual  13: 33554432 op, 46312300.00 ns, 1.3802 ns/op
OverheadActual  14: 33554432 op, 46354500.00 ns, 1.3815 ns/op
OverheadActual  15: 33554432 op, 46460600.00 ns, 1.3846 ns/op

WorkloadWarmup   1: 33554432 op, 849538600.00 ns, 25.3182 ns/op
WorkloadWarmup   2: 33554432 op, 856693100.00 ns, 25.5314 ns/op
WorkloadWarmup   3: 33554432 op, 864647500.00 ns, 25.7685 ns/op
WorkloadWarmup   4: 33554432 op, 852268600.00 ns, 25.3996 ns/op
WorkloadWarmup   5: 33554432 op, 853140100.00 ns, 25.4256 ns/op
WorkloadWarmup   6: 33554432 op, 859893900.00 ns, 25.6268 ns/op
WorkloadWarmup   7: 33554432 op, 845216800.00 ns, 25.1894 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 846080500.00 ns, 25.2152 ns/op
WorkloadActual   2: 33554432 op, 845372500.00 ns, 25.1941 ns/op
WorkloadActual   3: 33554432 op, 845277000.00 ns, 25.1912 ns/op
WorkloadActual   4: 33554432 op, 845175000.00 ns, 25.1882 ns/op
WorkloadActual   5: 33554432 op, 845272000.00 ns, 25.1911 ns/op
WorkloadActual   6: 33554432 op, 848642300.00 ns, 25.2915 ns/op
WorkloadActual   7: 33554432 op, 848620100.00 ns, 25.2908 ns/op
WorkloadActual   8: 33554432 op, 846160600.00 ns, 25.2176 ns/op
WorkloadActual   9: 33554432 op, 844993800.00 ns, 25.1828 ns/op
WorkloadActual  10: 33554432 op, 845497700.00 ns, 25.1978 ns/op
WorkloadActual  11: 33554432 op, 845172700.00 ns, 25.1881 ns/op
WorkloadActual  12: 33554432 op, 848365300.00 ns, 25.2833 ns/op
WorkloadActual  13: 33554432 op, 845026700.00 ns, 25.1838 ns/op
WorkloadActual  14: 33554432 op, 848503500.00 ns, 25.2874 ns/op
WorkloadActual  15: 33554432 op, 849435100.00 ns, 25.3151 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 799597400.00 ns, 23.8299 ns/op
WorkloadResult   2: 33554432 op, 798889400.00 ns, 23.8088 ns/op
WorkloadResult   3: 33554432 op, 798793900.00 ns, 23.8059 ns/op
WorkloadResult   4: 33554432 op, 798691900.00 ns, 23.8029 ns/op
WorkloadResult   5: 33554432 op, 798788900.00 ns, 23.8058 ns/op
WorkloadResult   6: 33554432 op, 802159200.00 ns, 23.9062 ns/op
WorkloadResult   7: 33554432 op, 802137000.00 ns, 23.9055 ns/op
WorkloadResult   8: 33554432 op, 799677500.00 ns, 23.8322 ns/op
WorkloadResult   9: 33554432 op, 798510700.00 ns, 23.7975 ns/op
WorkloadResult  10: 33554432 op, 799014600.00 ns, 23.8125 ns/op
WorkloadResult  11: 33554432 op, 798689600.00 ns, 23.8028 ns/op
WorkloadResult  12: 33554432 op, 801882200.00 ns, 23.8980 ns/op
WorkloadResult  13: 33554432 op, 798543600.00 ns, 23.7985 ns/op
WorkloadResult  14: 33554432 op, 802020400.00 ns, 23.9021 ns/op
